2 0;1 0
1 3;0 3
1 5;0 5
1 1;2 1
0 8;1 8
4 8;3 8
4 2;4 3
4 4;4 5
3 3;2 3
2 4;3 4
1 7;2 7
2 6;2 5
0 2;0 1
4 0;3 0
3 5;3 6
2 2;1 2
3 7;4 7
0 4;1 4
0 6;1 6
3 1;4 1
3117788535 3;3117788536 3
3117788536 2;3117788535 2
3117788534 8;3117788533 8
3117788534 6;3117788533 6
3117788535 7;3117788536 7
3117788536 4;3117788535 4
3117788533 1;3117788534 1
3117788533 7;3117788534 7
3117788536 8;3117788535 8
3117788537 3;3117788537 4
3117788533 5;3117788534 5
3117788537 5;3117788537 6
3117788536 0;3117788537 0
3117788533 3;3117788534 3
3117788535 1;3117788536 1
3117788537 7;3117788537 8
3117788535 5;3117788536 5
3117788534 4;3117788533 4
3117788537 1;3117788537 2
3117788534 2;3117788533 2
3117788534 0;3117788535 0
3117788536 6;3117788535 6
4 3631604168;4 3631604169
3 3631604167;4 3631604167
1 3631604167;0 3631604167
1 3631604165;0 3631604165
1 3631604163;0 3631604163
3 3631604163;2 3631604163
3 3631604171;4 3631604171
4 3631604166;4 3631604165
2 3631604168;3 3631604168
1 3631604171;2 3631604171
2 3631604166;2 3631604167
0 3631604170;1 3631604170
2 3631604164;3 3631604164
0 3631604168;1 3631604168
1 3631604169;0 3631604169
3 3631604165;2 3631604165
0 3631604164;1 3631604164
4 3631604164;4 3631604163
2 3631604170;2 3631604169
4 3631604170;3 3631604170
0 3631604166;1 3631604166
3512102110 3998273372;3512102111 3998273372
3512102109 3998273373;3512102109 3998273372
3512102109 3998273377;3512102110 3998273377
3512102108 3998273376;3512102107 3998273376
3512102110 3998273374;3512102110 3998273373
3512102109 3998273375;3512102110 3998273375
3512102107 3998273371;3512102108 3998273371
3512102107 3998273377;3512102108 3998273377
3512102107 3998273373;3512102108 3998273373
3512102108 3998273372;3512102107 3998273372
3512102111 3998273371;3512102111 3998273370
3512102107 3998273375;3512102108 3998273375
3512102110 3998273378;3512102111 3998273378
3512102111 3998273375;3512102111 3998273374
3512102109 3998273371;3512102110 3998273371
3512102108 3998273378;3512102107 3998273378
3512102108 3998273374;3512102109 3998273374
3512102108 3998273370;3512102107 3998273370
3512102111 3998273377;3512102111 3998273376
3512102110 3998273370;3512102109 3998273370
3512102110 3998273376;3512102109 3998273376
