0 0;0 1
123456799 13;123456799 12
123456888 12341234;123456887 12341234
123456980 12341234;123456979 12341234
123456981 12341235;123456980 12341235
123456947 12341247;123456947 12341246
123456948 12341246;123456949 12341246
123457214 12341254;123457214 12341253
123457051 12341255;123457051 12341256
123456850 12341264;123456850 12341263
123457076 12341266;123457076 12341267
123457241 12341267;123457241 12341268
123457163 12341273;123457164 12341273
123456891 12341277;123456891 12341276
123457072 12341278;123457072 12341277
123457075 12341277;123457075 12341278
123457073 12341279;123457073 12341280
123457074 12341278;123457074 12341279
123456993 12341295;123456993 12341294
123456815 12341305;123456814 12341305
123456967 12341315;123456967 12341314
123456934 12341326;123456935 12341326
123456995 12341331;123456994 12341331
123456994 12341332;123456995 12341332
123456954 12341362;123456954 12341361
123457133 12341367;123457133 12341368
123457189 12341385;123457190 12341385
123456789 12341403;123456789 12341402
123457062 12341402;123457063 12341402
123457042 12341412;123457043 12341412
123457043 12341411;123457042 12341411
123456882 12341418;123456882 12341419
123456963 12341431;123456963 12341432
123457002 12341454;123457001 12341454
123457145 12341457;123457145 12341458
123457097 12341463;123457098 12341463
123456936 12341408;123456936 12341409
123457041 12341299;123457042 12341299
123456919 12341383;123456918 12341383
123457126 12341336;123457125 12341336
123456860 12341384;123456861 12341384
123456918 12341370;123456917 12341370
123456882 12341434;123456881 12341434
123457132 12341418;123457133 12341418
123456849 12341423;123456848 12341423
123457221 12341257;123457222 12341257
123457230 12341242;123457231 12341242
123456917 12341469;123456916 12341469
123456985 12341277;123456986 12341277
123456854 12341320;123456854 12341321
123457016 12341380;123457015 12341380
123456857 12341339;123456858 12341339
123457114 12341278;123457114 12341279
123457246 12341352;123457247 12341352
123456910 12341316;123456909 12341316
123457173 12341269;123457172 12341269
123456991 12341321;123456992 12341321
123457166 12341436;123457165 12341436
123457003 12341335;123457002 12341335
123457012 12341246;123457011 12341246
123456985 12341261;123456986 12341261
123457109 12341343;123457109 12341342
123456900 12341412;123456900 12341411
123457067 12341349;123457066 12341349
123457094 12341270;123457094 12341269
123456971 12341379;123456970 12341379
123457025 12341399;123457024 12341399
123457045 12341243;123457045 12341244
123457100 12341472;123457101 12341472
123457018 12341480;123457018 12341481
123456959 12341303;123456958 12341303
123456896 12341262;123456896 12341263
123457029 12341271;123457029 12341272
123457066 12341286;123457065 12341286
123456838 12341322;123456839 12341322
123457246 12341340;123457245 12341340
123457236 12341290;123457236 12341289
123457229 12341467;123457228 12341467
123456877 12341325;123456876 12341325
123456867 12341253;123456868 12341253
123457242 12341238;123457242 12341237
123457248 12341288;123457247 12341288
123457046 12341470;123457045 12341470
123456847 12341441;123456846 12341441
123457231 12341245;123457232 12341245
123457046 12341454;123457046 12341453
123456914 12341348;123456915 12341348
123456913 12341309;123456914 12341309
123457267 12341257;123457266 12341257
123457125 12341341;123457126 12341341
123456982 12341266;123456982 12341265
123456942 12341294;123456942 12341295
123457049 12341293;123457048 12341293
123456889 12341257;123456888 12341257
123456837 12341325;123456838 12341325
123457199 12341239;123457199 12341238
123456949 12341325;123456949 12341326
123457059 12341277;123457058 12341277
123456977 12341255;123456976 12341255
123456882 12341404;123456881 12341404
123456960 12341400;123456959 12341400
123457128 12341252;123457129 12341252
123456845 12341333;123456846 12341333
123457047 12341371;123457046 12341371
123456833 12341477;123456834 12341477
123456877 12341369;123456876 12341369
123457189 12341337;123457190 12341337
123457212 12341308;123457212 12341307
123457129 12341357;123457128 12341357
123457137 12341373;123457137 12341374
123457171 12341449;123457170 12341449
123457275 12341263;123457274 12341263
123456840 12341256;123456840 12341257
123457102 12341416;123457103 12341416
123456882 12341380;123456883 12341380
123457232 12341468;123457233 12341468
123457040 12341296;123457040 12341295
123456916 12341424;123456915 12341424
123456808 12341380;123456808 12341379
123457242 12341454;123457241 12341454
123457209 12341437;123457208 12341437
123457148 12341464;123457148 12341465
123456879 12341293;123456880 12341293
123457246 12341452;123457247 12341452
123456954 12341310;123456953 12341310
123456828 12341244;123456829 12341244
123456843 12341479;123456844 12341479
123456854 12341374;123456854 12341375
123457159 12341279;123457160 12341279
123457020 12341432;123457021 12341432
123457181 12341377;123457180 12341377
123457107 12341343;123457108 12341343
123457242 12341384;123457243 12341384
123457024 12341236;123457025 12341236
123456903 12341345;123456903 12341344
123457029 12341273;123457030 12341273
123456939 12341263;123456940 12341263
123456992 12341450;123456992 12341451
123456930 12341346;123456930 12341347
123456816 12341288;123456815 12341288
123457194 12341272;123457195 12341272
123457168 12341374;123457169 12341374
123457222 12341436;123457223 12341436
123456816 12341310;123456815 12341310
123457124 12341246;123457125 12341246
123457192 12341286;123457191 12341286
123457226 12341348;123457225 12341348
123456908 12341458;123456908 12341459
123457219 12341315;123457219 12341316
123457161 12341441;123457162 12341441
123457154 12341352;123457153 12341352
123456913 12341401;123456913 12341402
123456913 12341337;123456912 12341337
123457213 12341351;123457214 12341351
123457220 12341382;123457221 12341382
123457192 12341482;123457191 12341482
123456964 12341320;123456963 12341320
123457209 12341319;123457210 12341319
123457020 12341254;123457021 12341254
123456868 12341362;123456867 12341362
123457167 12341459;123457168 12341459
123457212 12341280;123457213 12341280
123457219 12341441;123457218 12341441
123457047 12341481;123457046 12341481
123456955 12341287;123456954 12341287
123457117 12341335;123457118 12341335
123456969 12341445;123456969 12341446
123456914 12341462;123456915 12341462
123457242 12341472;123457242 12341471
123457205 12341271;123457206 12341271
123457044 12341340;123457043 12341340
123457093 12341423;123457093 12341422
123457278 12341410;123457279 12341410
123456819 12341337;123456820 12341337
123457233 12341373;123457234 12341373
123457288 12341238;123457287 12341238
123457046 12341426;123457047 12341426
123456794 12341394;123456795 12341394
123456956 12341468;123456957 12341468
123457202 12341300;123457201 12341300
123456847 12341255;123456847 12341256
123457063 12341361;123457064 12341361
123456883 12341339;123456882 12341339
123456836 12341256;123456835 12341256
123457229 12341451;123457230 12341451
123457085 12341375;123457086 12341375
123456939 12341477;123456938 12341477
123456890 12341316;123456889 12341316
123457130 12341380;123457129 12341380
123456990 12341462;123456991 12341462
123456929 12341359;123456928 12341359
123456987 12341371;123456988 12341371
123457178 12341416;123457179 12341416
123457191 12341477;123457190 12341477
123457135 12341237;123457134 12341237
123456895 12341397;123456894 12341397
123457221 12341453;123457222 12341453
123456933 12341389;123456934 12341389
123456881 12341473;123456880 12341473
123456987 12341251;123456988 12341251
123457097 12341389;123457098 12341389
123456810 12341406;123456811 12341406
123457008 12341406;123457007 12341406
123456998 12341454;123456999 12341454
123457170 12341448;123457171 12341448
123457243 12341257;123457244 12341257
123456849 12341355;123456848 12341355
123456908 12341442;123456908 12341441
123456908 12341292;123456907 12341292
123457078 12341298;123457077 12341298
123456909 12341319;123456908 12341319
123457012 12341252;123457011 12341252
123457013 12341243;123457012 12341243
123457254 12341268;123457255 12341268
123457260 12341368;123457261 12341368
123456820 12341442;123456819 12341442
123457275 12341465;123457276 12341465
123456951 12341331;123456950 12341331
123456962 12341320;123456961 12341320
123457279 12341313;123457278 12341313
123456934 12341386;123456935 12341386
123457113 12341331;123457112 12341331
123456930 12341280;123456930 12341281
123456954 12341252;123456955 12341252
123457022 12341412;123457023 12341412
123456887 12341309;123456888 12341309
123456968 12341458;123456969 12341458
123456810 12341282;123456811 12341282
123457192 12341272;123457191 12341272
123456847 12341429;123456848 12341429
123456958 12341424;123456959 12341424
123457145 12341389;123457146 12341389
123457167 12341379;123457168 12341379
123457288 12341244;123457288 12341245
123457002 12341278;123457003 12341278
123457236 12341284;123457237 12341284
123457161 12341341;123457161 12341342
123457250 12341402;123457250 12341401
123457167 12341455;123457166 12341455
